-----------------------------------|---------|----------|---------|---------|-------------------
File                               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
-----------------------------------|---------|----------|---------|---------|-------------------
All files                          |   88.61 |    76.09 |   89.83 |    90.2 |
 src                               |       0 |      100 |     100 |       0 |
  index.jsx                        |       0 |      100 |     100 |       0 | 6
 src/components/App                |       0 |      100 |       0 |       0 |
  App.component.jsx                |       0 |      100 |       0 |       0 | 11
  index.js                         |       0 |        0 |       0 |       0 |
 src/components/Header             |     100 |      100 |     100 |     100 |
  Header.component.jsx             |     100 |      100 |     100 |     100 |
  Header.styles.js                 |     100 |      100 |     100 |     100 |
  index.js                         |       0 |        0 |       0 |       0 |
 src/components/Layout             |       0 |      100 |       0 |       0 |
  Layout.component.jsx             |       0 |      100 |       0 |       0 | 5-6
  index.js                         |       0 |        0 |       0 |       0 |
 src/components/PreviewList        |      80 |      100 |      50 |      80 |
  PreviewList.component.jsx        |      75 |      100 |      50 |      75 | 6
  PreviewList.styles.js            |     100 |      100 |     100 |     100 |
  index.js                         |       0 |        0 |       0 |       0 |
 src/components/PreviewRelatedList |      75 |      100 |      50 |      75 |
  PreviewRelatedList.component.jsx |      60 |      100 |      50 |      60 | 10-11
  PreviewRelatedList.styles.js     |     100 |      100 |     100 |     100 |
  index.js                         |       0 |        0 |       0 |       0 |
 src/components/Search             |    87.5 |       50 |   66.67 |     100 |
  Search.component.jsx             |   85.71 |       50 |   66.67 |     100 | 23
  Search.styles.js                 |     100 |      100 |     100 |     100 |
  index.js                         |       0 |        0 |       0 |       0 |
 src/components/VideoPreview       |     100 |      100 |     100 |     100 |
  VideoPreview.component.jsx       |     100 |      100 |     100 |     100 |
  VideoPreview.styles.js           |     100 |      100 |     100 |     100 |
  index.js                         |       0 |        0 |       0 |       0 |
 src/pages/Home                    |     100 |     62.5 |     100 |     100 |
  Home.page.jsx                    |     100 |     62.5 |     100 |     100 | 16-27
  index.js                         |       0 |        0 |       0 |       0 |
 src/pages/VideoDetails            |      90 |     62.5 |   66.67 |     100 |
  VideoDetails.page.jsx            |   85.71 |     62.5 |   66.67 |     100 | 19-32
  VideoDetails.styles.js           |     100 |      100 |     100 |     100 |
  index.js                         |       0 |        0 |       0 |       0 |
 src/store                         |     100 |      100 |     100 |     100 |
  GlobalStateProvider.jsx          |     100 |      100 |     100 |     100 |
  context.js                       |     100 |      100 |     100 |     100 |
 src/theme                         |       0 |      100 |     100 |       0 |
  styles.js                        |       0 |      100 |     100 |       0 | 3
 src/theme/components              |     100 |      100 |     100 |     100 |
  Foundation.component.js          |     100 |      100 |     100 |     100 |
 src/theme/foundations             |     100 |      100 |     100 |     100 |
  defaultStyles.js                 |     100 |      100 |     100 |     100 |
 src/utils                         |   92.31 |       50 |     100 |   92.31 |
  constants.js                     |     100 |      100 |     100 |     100 |
  helpers.js                       |   88.89 |       50 |     100 |   88.89 | 30
 src/utils/hooks                   |   73.91 |       25 |     100 |   73.91 |
  useGlobalState.js                |      75 |    33.33 |     100 |      75 | 13-18
  useYoutubeApi.js                 |   73.33 |        0 |     100 |   73.33 | 18-23
-----------------------------------|---------|----------|---------|---------|-------------------
